id,id_property,area,floor,char_view,char_general,char_bathroom,bed_linen,towels,dish_towels,beds_basic,beds_additional,broj_kreveta,broj_pom_kreveta,max_odraslih,min_ljudi,min_boravak
22358,6673,42.0,1,,"balcony,air_condition,hairdryer,sattv,safe,internet_wireless,refrigerator,private_barbecue,outdoor_dining_area,outside_shower,dishes,cooking_gas,cooking_electric,microwave,coffee,toaster",,included,included,included,2,2,0,0,0,0,0
17480,6679,35.0,1,,"terrace,air_condition,hairdryer,sattv,internet_wireless,refrigerator,dishwasher,dishes,cooking_electric,microwave,coffee,tea,toaster",,included,included,included,2,2,0,0,0,0,0
25349,6679,22.0,0,,"terrace,air_condition,hairdryer,sattv,internet_wireless,refrigerator,dishes,cooking_electric,coffee,tea,toaster",,included,included,included,2,0,0,0,0,0,0
25350,6679,24.0,0,,"terrace,air_condition,hairdryer,sattv,internet_wireless,refrigerator,outdoor_dining_area,dishes,cooking_electric,coffee,tea,toaster",,included,included,included,2,0,0,0,0,0,0
17487,6681,35.0,0,view_street_quiet,"terrace,sattv,internet_wireless,outdoor_dining_area",,included,included,included,2,1,0,0,0,0,0
17492,6682,22.0,0,,"air_condition,sattv,internet_wireless,refrigerator,private_barbecue,dishes,coffee,tea,stove",,included,included,included,2,0,0,0,0,0,0
22151,6682,22.0,0,"view_street_quiet,view_garden","terrace,air_condition,sattv,internet_wireless,outdoor_dining_area",,included,included,included,2,1,0,0,0,0,0
22152,6682,40.0,1,,"air_condition,sattv,internet_wireless,refrigerator,private_barbecue,dishes,coffee,tea,stove",,included,included,included,2,2,0,0,0,0,0
22153,6682,40.0,1,,"air_condition,sattv,internet_wireless,refrigerator,private_barbecue,dishes,coffee,tea,stove",,included,included,included,2,2,0,0,0,0,0
17493,6683,100.0,1,,"balcony,air_condition,iron,hairdryer,sattv,internet_wireless,refrigerator,dishwasher,dishes,microwave,coffee,tea,stove,toaster",,included,included,included,6,0,0,0,0,0,0
17495,6684,34.0,0,,"air_condition,hairdryer,sattv,internet_wireless,refrigerator,private_barbecue,dishes,coffee,tea,stove",,included,included,included,2,2,0,0,0,0,0
